codigo;nombre
AZC;AZUAY CARLOS OTERO
AZU;AZUAY
BOL;BOLIVAR
CAN;CANAR
CAR;CARCHI
CHI;CHIMBORAZO
COL;COLOMBIA
COT;COTOPAXI
EL;EL ORO
ESM;ESMERALDAS
GAL;GALAPAGOS
GBH;BAHIA GUAYAQUIL
GKM;KLEBER MORENO GUAYAQUIL
GUA;GUAYAS
IMB;IMBABURA
LOJ;LOJA
LOS;LOS RIOS
MAN;MANABI
MCG;MERCADO CENTRAL GYE
MOR;MORONA-SANTIAGO
NAP;NAPO
ORL;ORELLANA
PAS;PASTAZA
PIC;PICHINCHA
PIE;PICHINCHA ELIZA
PIL;PICHINCHA LORENZO
SEL;SANTA ELENA
STO;SANTO DOMINGO
SUC;SUCUMBIOS
TIA;SUPERMERCADOS TIA
TUN;TUNGURAHUA
ZAM;ZAMORA-CHINCHIPE
